date,AR STA,BR STA,MX STA,US STA,AR SHA,BR SHA,MX SHA,US SHA,BR BCI,MX BCI,US BCI,BR CLI,US CLI,US UNEMP RATE,MX UNEMP RATE
1/1/17,1910287.979,110932209.4,34133443.61,757180637.8,11065974.88,224618436.7,61600650.85,639396158.7,98.75282,98.54491,100.598,99.3868,99.73594,4.7,3.462251923
2/1/17,10399101.65,56680064.87,28686594.69,651879586.6,10147034.02,210164575.4,53713298.51,591138721.9,98.88799,99.21404,100.7538,99.47755,99.81715,4.6,3.425464993
3/1/17,11105709.53,23196065.4,29132468.48,782334119.6,10571776.11,216243805.9,57806319.25,914071140.7,99.04408,100.3514,100.7053,99.58723,99.86115,4.4,3.496885378
4/1/17,1799116.395,17186202.01,17773474.93,588892456.6,9932035.214,215798772.7,56458282.98,667241668.5,99.13255,101.324,100.5581,99.72227,99.88291,4.4,3.508767852
5/1/17,1667469.346,21865301.16,18383053.51,644837331.2,10524918.51,209149503.7,58420312.44,695928554.5,99.14164,101.6579,100.5555,99.90181,99.9046,4.4,3.562622857
6/1/17,2111435.882,15143558.02,21426321.96,575512273.6,10976675.54,216847010.5,63118392.23,867117304.8,99.1027,101.6358,100.7225,100.1376,99.93652,4.3,3.292293851
7/1/17,1656799.864,18267027.95,96197416.79,1056817837,11712863.89,222815759.5,59398302.98,708174331.2,99.17686,101.4572,100.8892,100.4513,99.97963,4.3,3.246961326
8/1/17,1864055.206,22882612.87,178983072.9,2443099373,11200840.27,225974563.3,60962886.7,790854559,99.36552,101.3379,101.1327,100.8282,100.0526,4.4,3.321071978
9/1/17,2015024.021,18683302.74,38575445.62,792332301.9,10903104.81,231204336,56202705.1,805331120.8,99.64143,101.2945,101.2949,101.2302,100.1466,4.2,3.352859218
10/1/17,1492558.635,14404220.47,17839128.53,568160134.8,11958533.86,235738414.5,62467613.08,582004418.4,99.95169,101.1562,101.2645,101.6022,100.249,4.1,3.447947837
11/1/17,1269593.774,17364894.52,17166391.49,657197912.4,12180086.13,248397330.2,58935840.53,588002712.4,100.2293,101.1384,101.2339,101.9075,100.349,4.2,3.491032517
12/1/17,1195859.447,15365099.15,18994535.52,637023777.3,14005518,250917378.7,67535359.68,775546928.5,100.4115,101.0868,101.2895,102.1429,100.4495,4.1,3.417221314
1/1/18,1542891.442,101366343.4,31649740,976472811.9,13727143.26,258765108.7,66542867.55,1886053024,100.5039,100.9272,101.3366,102.3095,100.5548,4.1,3.268984571
2/1/18,9961081.828,64445204.64,27196754.67,675613475,13629835.79,251746243.1,58849253.62,1163459343,100.5495,100.7705,101.3592,102.39,100.6543,4.1,3.250657087
3/1/18,11765637.82,21571719.41,24329177.06,684139079.8,14198035.08,256362333.9,63972339.47,2090867623,100.563,100.6521,101.2469,102.3718,100.715,4,3.230409978
4/1/18,2067368.058,18406556.96,20565304.65,624437681.5,12867021.33,247877510.6,62030641.38,1466587797,100.5132,100.3412,101.1287,102.2618,100.7312,4,3.428755694
5/1/18,1818468.705,20353604.43,20055489.76,645313179.6,13094480.25,256385817.5,61514807.23,1885056042,100.4322,100.1143,101.1711,102.087,100.7164,3.8,3.237395088
6/1/18,2253521.857,15008508.96,21481127.79,575953954.8,13414152.75,231576027.9,66338110.85,1724935819,100.3423,100.275,101.276,101.8965,100.6845,4,3.390674698
7/1/18,1851044.1,18682291.14,94707250.31,1047693909,14468414.04,252893834.9,65175490.96,1625097625,100.2961,100.8236,101.3324,101.741,100.636,3.8,3.314338567
8/1/18,1965705.545,28217158.76,185476636.7,2500777147,14843841.73,253258951.5,63712811.91,2068384094,100.192,101.1051,101.4263,101.6343,100.5622,3.8,3.278484565
9/1/18,2049655.154,22355928.8,39408934.67,822643053.7,15426003.31,251732875.5,60961458.4,1437667779,100.0127,101.1503,101.3435,101.5864,100.4413,3.7,3.34041724
10/1/18,1558161.701,16241003.16,20611043.7,676883017.8,16216969.63,249267814.9,65348387.87,1454949310,99.88805,100.953,101.147,101.6189,100.2675,3.8,3.179619735
11/1/18,1520576.384,18704401.9,18364076.1,537837194.4,17251908.67,244097871.3,64493274.68,1702907117,99.87701,100.4101,100.9457,101.7153,100.0631,3.7,3.350651013
12/1/18,1537637.001,16496143.99,21345867.98,650119240.1,19786542.48,264641295.9,72860462.24,1600899717,99.92855,99.98736,100.6496,101.839,99.84729,3.9,3.675814609
1/1/19,2056146.963,91311078.05,33504276.94,902170587,20217893.01,272915922.5,67922982.23,1830934357,100.0431,99.82684,100.5071,101.958,99.64684,4,3.413232416
2/1/19,13791978.76,63147462.03,27466510.59,657255130.4,19608139.28,257390267.4,62154349.47,1477871104,100.1112,99.92169,100.352,102.032,99.47457,3.8,3.35092431
3/1/19,16031731.12,20738519.52,27215147.65,685968246.6,20427232.68,260365971,71918878.73,1612784241,100.1009,100.1238,100.2278,102.0635,99.33118,3.8,3.588402817
4/1/19,1991671.446,16329012.66,17666703.83,621509955.7,20203584.02,258226863.4,71236239.79,1714704460,100.057,100.1744,100.0194,102.0938,99.20081,3.6,3.5164036
5/1/19,2079222.934,20506790.09,20654240.97,662727158.6,22282444.38,248652976.8,69945626.91,2040711988,99.96157,99.87041,99.82793,102.1608,99.08323,3.6,3.540474959
6/1/19,2821217.951,15278751.58,56517007.88,583816264.1,22176479.12,255573789,73576943.08,1715354198,99.85983,99.45765,99.65529,102.2882,98.98247,3.7,3.590808997
7/1/19,2326032.037,17194728.38,57748148.18,1424520504,22727786.23,260191903,71891828.51,1640474518,99.80481,98.93134,99.4483,102.4648,98.90369,3.7,3.524196786
8/1/19,3005746.948,27521681.44,176395925.5,2075849231,23577470.43,264283910.9,72011470.32,2239218483,99.80869,98.66109,99.18751,102.67,98.85603,3.7,3.547151786
9/1/19,3283436.271,22294799.05,69648520.55,821027967.2,24921847.79,275215586,64604375.85,1511909769,99.84304,98.41164,98.98926,102.8828,98.86972,3.5,3.549120125
10/1/19,2764561.455,18107628.16,19975940.85,714488907.5,28706797.4,271965448.8,67367767.87,1835695291,99.94439,98.31715,98.9257,103.0558,98.94678,3.6,3.585381832
11/1/19,2414125.85,20057060.13,18622634.45,544793275.4,30034754.47,269955609.7,64959584.79,1455272608,100.1799,98.53963,98.95023,103.1263,99.07359,3.5,3.516096822
12/1/19,2143428.149,20991926.16,20960854.26,652453803.5,33929922.66,282457076.5,79036582.56,1625251897,100.4777,98.77533,99.06597,102.9987,99.22969,3.5,3.212953029
1/1/20,3310380.623,105995657.2,31105516.24,912904086.8,34759783.09,279131647.1,76113658.4,1845520015,100.5964,98.72966,99.25924,102.5694,99.38847,3.6,3.628120399
2/1/20,23661316.87,68762944.62,27844110.28,678073827.1,34056733.55,275529977.8,66311818.51,1490622852,100.1698,97.96454,99.19498,101.7814,99.5324,3.5,3.609934816
